loc_index,lon,lat,mask,FIPS,distance_miles
3,-98.288,28.706,0.5740128,48013,21.79067786557005
0,-96.193,29.68,1.0,48015,6.205148853319688
1,-96.069,29.679,1.0,48015,8.246839024216074
2,-96.44,29.897,0.31269032,48015,18.91815766752277
3,-96.315,29.897,1.0,48015,12.82553832599718
4,-96.314,30.005,0.17822981,48015,18.78014930318503
5,-96.19,30.004,0.06779307,48015,16.45947822308663
1,-99.172,29.661,1.0,48019,13.90939688844299
2,-99.548,29.761,1.0,48019,37.48752795783517
3,-99.424,29.764,1.0,48019,30.394686440061655
4,-99.299,29.767,1.0,48019,23.475877914713745
5,-99.175,29.769,1.0,48019,17.081895901007048
7,-99.551,29.869,1.0,48019,40.16273724760502
8,-99.427,29.872,1.0,48019,33.652254982239
9,-99.302,29.874,1.0,48019,27.53448109451445
0,-97.436,29.898,1.0,48021,31.443669042397584
1,-97.311,29.898,1.0,48021,31.653913146491583
2,-97.312,30.006,0.16161561,48021,24.307379252214055
3,-97.187,30.007,1.0,48021,26.680341019934424
0,-99.408,33.446,1.0,48023,13.474432415685099
1,-99.278,33.449,1.0,48023,10.182912335779271
3,-99.017,33.454,1.0,48023,17.000776451651795
6,-99.151,33.56,1.0,48023,6.647427753927802
7,-99.02,33.563,1.0,48023,13.914268569856237
8,-99.414,33.664,1.0,48023,10.148042088432438
12,-99.418,33.772,1.0,48023,15.246509317938312
13,-99.287,33.775,1.0,48023,12.463055238942141
3,-97.549,28.282,1.0,48025,14.85143671859446
6,-97.673,28.496,1.0,48025,7.7723106127343495
7,-98.041,28.601,1.0,48025,22.297050681175563
9,-97.796,28.603,1.0,48025,13.911603374776943
10,-97.92,28.71,1.0,48025,23.41795068317967
0,-97.792,28.173,0.9696642,48025,16.21016531179803
8,-97.919,28.602,0.8008686,48025,17.042163640050457
5,-97.795,28.495,0.6941446,48025,6.782004231095339
0,-97.315,30.763,1.0,48027,32.7036591663655
1,-97.315,30.871,0.98974526,48027,28.35608426728975
2,-97.189,30.979,0.8002033,48027,32.756800210883675
3,-97.569,31.194,1.0,48027,12.552345327611965
4,-97.443,31.303,0.38000542,48027,23.11719671037191
0,-98.544,29.241,1.0,48029,15.35221347654399
1,-98.793,29.345,1.0,48029,18.16187072231919
2,-98.795,29.453,1.0,48029,16.36216471392196
3,-98.176,29.461,0.024582803,48029,20.964003241093064
4,-98.8,29.668,1.0,48029,21.807319187324868
5,-98.552,29.672,1.0,48029,14.481201874789852
0,-98.435,30.105,0.21827227,48031,1.1676852405926177
1,-98.31,30.107,0.97194344,48031,6.4279168314689805
2,-98.314,30.323,1.0,48031,16.63168547786509
3,-98.189,30.324,0.1576364,48031,20.657807741753732
4,-98.566,30.428,1.0,48031,24.372415433801415
5,-98.441,30.429,1.0,48031,22.797739091766466
6,-98.316,30.431,1.0,48031,23.671667098681837
7,-98.19,30.432,1.0,48031,26.667844907717257
0,-101.182,32.525,1.0,48033,22.712844699563558
2,-101.445,32.624,1.0,48033,9.854442767474824
3,-101.316,32.629,1.0,48033,12.175693179615772
4,-101.579,32.727,1.0,48033,8.193600215936781
6,-101.322,32.737,1.0,48033,7.538755247743297
8,-101.457,32.841,1.0,48033,5.135872084823752
9,-101.328,32.846,1.0,48033,8.78599625958052
11,-101.592,32.944,1.0,48033,14.845632193844267
0,-97.573,31.735,1.0,48035,3.298788693963937
1,-97.574,31.844,1.0,48035,4.2865942318323125
2,-97.446,31.844,0.5736295,48035,9.08464684524308
3,-97.958,31.949,0.40032184,48035,24.896812264973764
4,-97.702,31.951,0.6848718,48035,13.591246011785087
5,-97.703,32.06,0.93219614,48035,20.41062353290364
0,-95.586,28.92,1.0,48039,46.755586187305575
1,-95.584,29.027,1.0,48039,39.85700015878386
2,-95.828,29.138,1.0,48039,42.07322560796397
3,-95.458,29.133,1.0,48039,30.40988450204531
4,-95.335,29.131,0.35490012,48039,29.426739123424344
5,-95.212,29.129,0.68329537,48039,30.28732813961702
6,-95.827,29.246,1.0,48039,37.28796728158261
7,-95.58,29.243,0.4385336,48039,26.711103780144743
0,-96.186,30.436,1.0,48041,12.19014814346403
1,-96.184,30.544,0.76481795,48041,7.249198191456463
2,-96.182,30.76,0.5981789,48041,13.820181577001058
0,-103.35,29.064,1.0,48043,91.52171782503174
1,-103.227,29.071,1.0,48043,92.87015097571226
2,-103.482,29.164,1.0,48043,83.38203734557125
3,-103.359,29.172,1.0,48043,84.13656473899034
4,-103.236,29.179,1.0,48043,85.5945409255383
5,-103.112,29.186,1.0,48043,87.67862328098141
6,-102.989,29.193,1.0,48043,90.30611283832049
7,-103.737,29.257,1.0,48043,76.3710967303739
0,-101.281,34.369,1.0,48045,7.179527703254016
1,-101.15,34.374,1.0,48045,11.065686832393848
2,-101.018,34.379,1.0,48045,17.533321577529247
3,-101.024,34.488,1.0,48045,16.02345477450196
4,-101.293,34.587,1.0,48045,7.992971351070482
5,-101.161,34.592,1.0,48045,11.646850687150646
7,-101.431,34.69,1.0,48045,16.717518486956806
8,-101.167,34.7,1.0,48045,17.586861254877117
0,-98.38,26.88,1.0,48047,27.774933366150123
1,-98.02,26.884,1.0,48047,24.668293206991017
2,-98.382,26.987,1.0,48047,21.90507445048439
3,-98.262,26.988,1.0,48047,17.790188056169495
4,-98.142,26.99,1.0,48047,16.133032845421077
5,-98.021,26.991,1.0,48047,17.792742744625755
6,-98.384,27.094,1.0,48047,17.227330604817716
7,-98.263,27.096,1.0,48047,11.430973769219621
0,-98.971,31.611,1.0,48049,7.0149938044342
1,-98.844,31.613,0.4236653,48049,10.408458886573486
2,-98.719,31.724,1.0,48049,15.196959753961703
3,-98.976,31.828,1.0,48049,7.944205001965392
4,-99.107,31.934,0.4464571,48049,17.06586545992074
5,-98.851,31.938,0.6304532,48049,17.19437881448145
6,-99.109,32.042,1.0,48049,23.985220860106775
0,-96.812,30.439,0.55893177,48051,9.164828880158774
1,-96.687,30.438,0.6143468,48051,6.437792701666392
2,-96.311,30.437,1.0,48051,24.129132732094934
3,-96.937,30.547,0.40632492,48051,14.134585684327313
4,-96.686,30.654,0.40711844,48051,8.53879445139305
0,-98.317,30.539,1.0,48053,2.987867463458433
1,-98.194,30.648,1.0,48053,7.557210891855905
2,-98.069,30.758,0.07955718,48053,18.16829311486846
3,-98.323,30.863,1.0,48053,20.718816033821145
4,-98.324,30.971,1.0,48053,28.11621553033082
5,-98.198,30.973,0.19562441,48053,28.50155532432441
6,-97.946,30.975,0.07274681,48053,34.428845586615246
0,-97.559,29.682,0.54391646,48055,15.452682905823135
1,-97.808,29.788,1.0,48055,9.752825128809766
2,-97.684,29.789,1.0,48055,6.164887415171742
3,-97.559,29.79,0.524014,48055,9.62806545366006
4,-97.435,29.79,1.0,48055,16.097956802976995
0,-96.694,28.498,0.42923594,48057,9.198185040967271
0,-99.368,32.145,1.0,48059,19.63998940549636
1,-99.628,32.248,1.0,48059,13.063116025190727
2,-99.372,32.253,1.0,48059,13.042725945210385
3,-99.243,32.256,1.0,48059,18.418371661789504
6,-99.118,32.367,0.3766876,48059,22.71894502605302
8,-99.25,32.473,0.36081237,48059,15.5462310181803
4,-99.503,32.359,0.1540792,48059,3.2114526265540704
7,-99.378,32.47,0.035511315,48059,8.591647276292873
0,-97.534,25.926,0.5400801,48061,6.826053583355472
1,-97.416,26.033,1.0,48061,3.577357261490207
2,-97.774,26.244,0.15228283,48061,25.95427236863519
